brand,category,model,expected_file
Kenstar,Air coolers,Kenstar BLDC Cooler,photos/kenstar/kenstar-bldc-cooler.jpg
Kenstar,Air coolers,Kenstar Desert Cooler,photos/kenstar/kenstar-desert-cooler.jpg
Kenstar,Air coolers,Kenstar Personal Cooler,photos/kenstar/kenstar-personal-cooler.jpg
Kenstar,Air coolers,Kenstar Personal Desert Cooler,photos/kenstar/kenstar-personal-desert-cooler.jpg
Kenstar,Air fryers,Crysta Neo 5.8L,photos/kenstar/crysta-neo-5-8l.jpg
Kenstar,Air fryers,Opal Digi 4.5L,photos/kenstar/opal-digi-4-5l.jpg
Kenstar,Air fryers,Opal Neo 4.5L,photos/kenstar/opal-neo-4-5l.jpg
Kenstar,Blenders & choppers,Kenstar Hand Blender,photos/kenstar/kenstar-hand-blender.jpg
Kenstar,Blenders & choppers,Kenstar Personal Blender,photos/kenstar/kenstar-personal-blender.jpg
Kenstar,Cooking,Kenstar Rice Cooker,photos/kenstar/kenstar-rice-cooker.jpg
Kenstar,Cooktops,Kenstar Induction Cooktop,photos/kenstar/kenstar-induction-cooktop.jpg
Kenstar,Garment care,Kenstar Garment Steamer,photos/kenstar/kenstar-garment-steamer.jpg
Kenstar,Garment care,Matrix 2000W Steam Iron,photos/kenstar/matrix-2000w-steam-iron.jpg
Kenstar,Juicers,Kenstar Juicer,photos/kenstar/kenstar-juicer.jpg
Kenstar,Kettles & breakfast,Crisper Titanium,photos/kenstar/crisper-titanium.jpg
Kenstar,Kettles & breakfast,Crisper Toaster — Midnight Black,photos/kenstar/crisper-toaster-midnight-black.jpg
Kenstar,Kettles & breakfast,Crisper Toaster — Olive Green,photos/kenstar/crisper-toaster-olive-green.jpg
Kenstar,Kettles & breakfast,Crisper Toaster — Velvet Red,photos/kenstar/crisper-toaster-velvet-red.jpg
Kenstar,Kettles & breakfast,Kenstar Sandwich Maker,photos/kenstar/kenstar-sandwich-maker.jpg
Kenstar,Kettles & breakfast,Stylee 1.5L Electric Kettle,photos/kenstar/stylee-1-5l-electric-kettle.jpg
Kenstar,Kettles & breakfast,Stylee 1.8L Electric Kettle,photos/kenstar/stylee-1-8l-electric-kettle.jpg
Kenstar,Mixer grinders,Kenstar Mixer Grinder — 3 Jar,photos/kenstar/kenstar-mixer-grinder-3-jar.jpg
Kenstar,Mixer grinders,Kenstar Mixer Grinder — 4 Jar,photos/kenstar/kenstar-mixer-grinder-4-jar.jpg
Kenstar,Ovens & microwaves,Durachef OTG 10L,photos/kenstar/durachef-otg-10l.jpg
Kenstar,Ovens & microwaves,Durachef OTG 17L,photos/kenstar/durachef-otg-17l.jpg
Kenstar,Ovens & microwaves,Solo Microwave 20L,photos/kenstar/solo-microwave-20l.jpg
Kenstar,Room heaters,Kenstar Room Heater,photos/kenstar/kenstar-room-heater.jpg
Kenstar,Washing machines,Power Wash Semi-Automatic,photos/kenstar/power-wash-semi-automatic.jpg
Kenstar,Washing machines,Power Wash Top Load,photos/kenstar/power-wash-top-load.jpg
Kenstar,Water heaters,Aquaglass Water Heater,photos/kenstar/aquaglass-water-heater.jpg
Kenstar,Water heaters,Flux Water Heater,photos/kenstar/flux-water-heater.jpg
Kenstar,Water heaters,Hotstar Storage Water Heater,photos/kenstar/hotstar-storage-water-heater.jpg
Kenstar,Water heaters,Kenstar Immersion Rod,photos/kenstar/kenstar-immersion-rod.jpg
Kenstar,Water heaters,Maximus Instant Water Heater,photos/kenstar/maximus-instant-water-heater.jpg
Kenstar,Water heaters,Trigon Water Heater,photos/kenstar/trigon-water-heater.jpg
